id,no,word,source_list,category_hint,phase1_input_file,phase1_status,phase1_output_file,phase2_datasets,notes,automation_eligible,last_automation_run,automation_run_id,phase1_term_count,phase1_verse_count,strongs_list
137,137,resolve,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,0,0,"[{""strong"": ""G2107"", ""count"": 1}]"
138,138,reverence,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,1,76,"[{""strong"": ""H3372"", ""count"": 2}, {""strong"": ""G2124"", ""count"": 2}, {""strong"": ""G5401"", ""count"": 1}]"
139,139,righteousness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,4,452,"[{""strong"": ""H6666"", ""count"": 106}, {""strong"": ""G1343"", ""count"": 76}, {""strong"": ""H6664"", ""count"": 65}, {""strong"": ""H1961"", ""count"": 2}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""H3808"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""H4941"", ""count"": 1}, {""strong"": ""H1992"", ""count"": 1}, {""strong"": ""G1161"", ""count"": 1}, {""strong"": ""G1345"", ""count"": 1}]"
140,140,seeking,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,7,700,"[{""strong"": ""G2212"", ""count"": 35}, {""strong"": ""H1245"", ""count"": 13}, {""strong"": ""H1875"", ""count"": 4}, {""strong"": ""H4672"", ""count"": 2}, {""strong"": ""G1934"", ""count"": 2}, {""strong"": ""H0595"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""H1961"", ""count"": 1}, {""strong"": ""H7836"", ""count"": 1}, {""strong"": ""G2021"", ""count"": 1}, {""strong"": ""G1537"", ""count"": 1}, {""strong"": ""G2052"", ""count"": 1}]"
141,141,self-awareness,See word_confidence_split,,,In Progress,,,"COVERED — No further action required. Covered by conscience (#26) and knowledge (#100). The Hebrew concept of self-knowledge (H3045 yada in reflexive sense) and Greek syneidēsis (conscience as self-awareness before God) are both in the registry. ""Self-awareness"" as a modern psychological category does not map to a distinct biblical lexical entry. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
142,142,self-control,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,10,590,"[{""strong"": ""G1466"", ""count"": 4}, {""strong"": ""G1467"", ""count"": 2}, {""strong"": ""G4997"", ""count"": 2}, {""strong"": ""H4623"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""H0369"", ""count"": 1}, {""strong"": ""H7307"", ""count"": 1}, {""strong"": ""G2532"", ""count"": 1}, {""strong"": ""G0192"", ""count"": 1}, {""strong"": ""G4995"", ""count"": 1}, {""strong"": ""G0193"", ""count"": 1}]"
143,143,sensitivity,See word_confidence_split,,,In Progress,,,"PARTIAL — Research required. Partially covered by compassion (#23). Hebrew H7356 (rachamim, compassion/tender mercies) and G4698 (splagchnon, compassion as visceral inner sensitivity) are in the compassion semantic field. Recommend confirming compassion (#23) explicitly includes G4698 (11 occurrences) as the inner-sensitivity dimension. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
144,144,sensuality,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,0,0,"[{""strong"": ""G0766"", ""count"": 8}]"
145,145,sexuality,See word_confidence_split,,,In Progress,,,"PARTIAL — Research required. Partially covered by sensuality (#144), lust (#105), and whoredom (#171). Hebrew H2181 (zanah) and G4202 (porneia) appear across those registries. However sexuality as a created, positive inner capacity is not addressed — only its distorted forms. The positive dimension is partially accessible through desire (#43) in its somatic dimension. Recommend retaining sexuality as an entry but noting this tension in the registry record. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
146,146,shame,High Confidence,,word shame.md,Complete,"WA-146-shame-data-part1-2026-03-12.json, WA-146-shame-data-part2-2026-03-12.json, WA-146-shame-data-part3-2026-03-12.json",3.0,84 terms (84 extracted). 3 parts. Session A Instruction v6. MTI: extracted.,1,,,,,
147,147,sin,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,18,1731,"[{""strong"": ""H2403"", ""count"": 190}, {""strong"": ""G0266"", ""count"": 78}, {""strong"": ""H2398"", ""count"": 61}, {""strong"": ""H2399"", ""count"": 14}, {""strong"": ""H0853"", ""count"": 12}, {""strong"": ""G4624"", ""count"": 10}, {""strong"": ""H5921"", ""count"": 9}, {""strong"": ""G0264"", ""count"": 9}, {""strong"": ""H2401"", ""count"": 8}, {""strong"": ""H0834"", ""count"": 5}, {""strong"": ""H5512"", ""count"": 4}, {""strong"": ""H0413"", ""count"": 3}, {""strong"": ""H5771"", ""count"": 3}, {""strong"": ""G4625"", ""count"": 3}, {""strong"": ""H0408"", ""count"": 2}, {""strong"": ""H3588"", ""count"": 2}, {""strong"": ""H1931"", ""count"": 2}, {""strong"": ""H1961"", ""count"": 2}, {""strong"": ""H3808"", ""count"": 2}, {""strong"": ""G0265"", ""count"": 2}, {""strong"": ""G3303"", ""count"": 2}, {""strong"": ""H2088"", ""count"": 1}, {""strong"": ""H0817"", ""count"": 1}, {""strong"": ""H3605"", ""count"": 1}, {""strong"": ""H5973"", ""count"": 1}, {""strong"": ""H2402"", ""count"": 1}, {""strong"": ""H2063"", ""count"": 1}, {""strong"": ""H0518"", ""count"": 1}, {""strong"": ""H7564"", ""count"": 1}, {""strong"": ""H4603"", ""count"": 1}, {""strong"": ""H4616"", ""count"": 1}, {""strong"": ""H8552"", ""count"": 1}, {""strong"": ""G0361"", ""count"": 1}]"
148,148,sincerity,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,2,40,"[{""strong"": ""G1505"", ""count"": 3}, {""strong"": ""H8549"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""G0572"", ""count"": 1}]"
149,149,slander,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:44,RUN-20260318_134133-BULK_GAP_FILL,10,275,"[{""strong"": ""G0988"", ""count"": 6}, {""strong"": ""G2636"", ""count"": 2}, {""strong"": ""H7270"", ""count"": 1}, {""strong"": ""H5414"", ""count"": 1}, {""strong"": ""H1848"", ""count"": 1}, {""strong"": ""H1681"", ""count"": 1}, {""strong"": ""H3960"", ""count"": 1}, {""strong"": ""H7400"", ""count"": 1}, {""strong"": ""G1426"", ""count"": 1}, {""strong"": ""G3059"", ""count"": 1}]"
150,150,sorcery,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:44,RUN-20260318_134133-BULK_GAP_FILL,2,5,"[{""strong"": ""G5331"", ""count"": 2}, {""strong"": ""H3784"", ""count"": 1}]"
151,151,sorrow,See word_confidence_split,,,Complete,WA-151-sorrow-data-part1/2-2026-03-10.json,,24 terms. 2 parts. Spec v5. MTI: extracted.,1,,,,,
152,152,strife,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:44,RUN-20260318_134133-BULK_GAP_FILL,8,119,"[{""strong"": ""H7379"", ""count"": 12}, {""strong"": ""H4066"", ""count"": 6}, {""strong"": ""H1481"", ""count"": 4}, {""strong"": ""G2054"", ""count"": 3}, {""strong"": ""H4683"", ""count"": 2}, {""strong"": ""H4808"", ""count"": 1}, {""strong"": ""H7230"", ""count"": 1}, {""strong"": ""H4090"", ""count"": 1}, {""strong"": ""H4079"", ""count"": 1}, {""strong"": ""H1961"", ""count"": 1}]"
153,153,stubbornness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:44,RUN-20260318_134133-BULK_GAP_FILL,2,9,"[{""strong"": ""H8307"", ""count"": 4}, {""strong"": ""H7190"", ""count"": 1}, {""strong"": ""H0413"", ""count"": 1}]"
154,154,stupor,High Confidence,,word_sorrow.md,Complete,"WA-154-sorrow-data-part1-2026-03-10.json, WA-154-sorrow-data-part2-2026-03-10.json",2.0,48 terms (48 extracted). 2 parts. Session A Instruction v5. MTI: extracted.,1,,,,,
155,155,submission,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:44,RUN-20260318_134133-BULK_GAP_FILL,2,20,"[{""strong"": ""G5292"", ""count"": 2}, {""strong"": ""G5293"", ""count"": 1}]"
156,156,surrender,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:44,RUN-20260318_134133-BULK_GAP_FILL,3,413,"[{""strong"": ""H5462"", ""count"": 4}, {""strong"": ""H3318"", ""count"": 3}, {""strong"": ""H0859"", ""count"": 1}]"
157,157,temptation,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:44,RUN-20260318_134133-BULK_GAP_FILL,1,1,"[{""strong"": ""G3986"", ""count"": 10}, {""strong"": ""G4625"", ""count"": 1}]"
158,158,terror,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:44,RUN-20260318_134133-BULK_GAP_FILL,17,1175,"[{""strong"": ""H6343"", ""count"": 17}, {""strong"": ""H2851"", ""count"": 8}, {""strong"": ""H4032"", ""count"": 7}, {""strong"": ""H0367"", ""count"": 6}, {""strong"": ""H4172"", ""count"": 4}, {""strong"": ""H0853"", ""count"": 3}, {""strong"": ""H4288"", ""count"": 3}, {""strong"": ""H1961"", ""count"": 2}, {""strong"": ""H3588"", ""count"": 2}, {""strong"": ""H6206"", ""count"": 2}, {""strong"": ""H6342"", ""count"": 2}, {""strong"": ""H0928"", ""count"": 2}, {""strong"": ""H1205"", ""count"": 2}, {""strong"": ""H2847"", ""count"": 1}, {""strong"": ""H1670"", ""count"": 1}, {""strong"": ""H5750"", ""count"": 1}, {""strong"": ""H8033"", ""count"": 1}, {""strong"": ""H1091"", ""count"": 1}, {""strong"": ""H2283"", ""count"": 1}, {""strong"": ""H2113"", ""count"": 1}, {""strong"": ""H7535"", ""count"": 1}, {""strong"": ""H2865"", ""count"": 1}, {""strong"": ""H0408"", ""count"": 1}, {""strong"": ""H4036"", ""count"": 1}, {""strong"": ""H0518"", ""count"": 1}, {""strong"": ""H8047"", ""count"": 1}, {""strong"": ""H5921"", ""count"": 1}, {""strong"": ""H0926"", ""count"": 1}, {""strong"": ""H2189"", ""count"": 1}, {""strong"": ""G1719"", ""count"": 1}, {""strong"": ""G5401"", ""count"": 1}]"
159,159,testimony,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:45,RUN-20260318_134133-BULK_GAP_FILL,9,107,"[{""strong"": ""H5715"", ""count"": 42}, {""strong"": ""G3141"", ""count"": 34}, {""strong"": ""G3142"", ""count"": 10}, {""strong"": ""H0853"", ""count"": 5}, {""strong"": ""G3140"", ""count"": 3}, {""strong"": ""H8584"", ""count"": 2}, {""strong"": ""H6030"", ""count"": 1}, {""strong"": ""H0226"", ""count"": 1}, {""strong"": ""G5577"", ""count"": 1}, {""strong"": ""G3056"", ""count"": 1}]"
160,160,thought,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:45,RUN-20260318_134133-BULK_GAP_FILL,23,1589,"[{""strong"": ""H0559"", ""count"": 25}, {""strong"": ""G1380"", ""count"": 5}, {""strong"": ""H2803"", ""count"": 4}, {""strong"": ""H1819"", ""count"": 3}, {""strong"": ""H3588"", ""count"": 2}, {""strong"": ""H0995"", ""count"": 2}, {""strong"": ""G3543"", ""count"": 2}, {""strong"": ""G2233"", ""count"": 2}, {""strong"": ""H1697"", ""count"": 1}, {""strong"": ""H1961"", ""count"": 1}, {""strong"": ""H5869"", ""count"": 1}, {""strong"": ""H4284"", ""count"": 1}, {""strong"": ""H6248"", ""count"": 1}, {""strong"": ""H7919"", ""count"": 1}, {""strong"": ""H1931"", ""count"": 1}, {""strong"": ""H2808"", ""count"": 1}, {""strong"": ""H2142"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""H7808"", ""count"": 1}, {""strong"": ""H4100"", ""count"": 1}, {""strong"": ""H6245"", ""count"": 1}, {""strong"": ""H0194"", ""count"": 1}, {""strong"": ""H7725"", ""count"": 1}, {""strong"": ""G1260"", ""count"": 1}, {""strong"": ""G3004"", ""count"": 1}, {""strong"": ""G0515"", ""count"": 1}, {""strong"": ""G2919"", ""count"": 1}, {""strong"": ""G4306"", ""count"": 1}, {""strong"": ""G5426"", ""count"": 1}, {""strong"": ""G3540"", ""count"": 1}, {""strong"": ""G3141"", ""count"": 1}]"
161,161,transformation,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #202 (""transformation"").",0,2026-03-18T13:41:45,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
162,162,transgression,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:45,RUN-20260318_134133-BULK_GAP_FILL,5,60,"[{""strong"": ""H6588"", ""count"": 36}, {""strong"": ""G3847"", ""count"": 3}, {""strong"": ""H1097"", ""count"": 2}, {""strong"": ""H0589"", ""count"": 1}, {""strong"": ""H6580"", ""count"": 1}, {""strong"": ""H6586"", ""count"": 1}, {""strong"": ""G3900"", ""count"": 1}, {""strong"": ""G3892"", ""count"": 1}]"
163,163,trust,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:45,RUN-20260318_134133-BULK_GAP_FILL,6,789,"[{""strong"": ""H0982"", ""count"": 63}, {""strong"": ""H4009"", ""count"": 7}, {""strong"": ""H0539"", ""count"": 5}, {""strong"": ""H5921"", ""count"": 3}, {""strong"": ""H0408"", ""count"": 3}, {""strong"": ""H0834"", ""count"": 2}, {""strong"": ""G3982"", ""count"": 2}, {""strong"": ""H6588"", ""count"": 1}, {""strong"": ""H0986"", ""count"": 1}, {""strong"": ""H4100"", ""count"": 1}, {""strong"": ""H0530"", ""count"": 1}, {""strong"": ""H3689"", ""count"": 1}, {""strong"": ""H2142"", ""count"": 1}, {""strong"": ""H0413"", ""count"": 1}, {""strong"": ""H0985"", ""count"": 1}, {""strong"": ""H0983"", ""count"": 1}, {""strong"": ""H0859"", ""count"": 1}]"
164,164,truthfulness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,1,27,"[{""strong"": ""G0225"", ""count"": 1}]"
165,165,unbelief,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,2,13,"[{""strong"": ""G0570"", ""count"": 9}, {""strong"": ""G0544"", ""count"": 1}, {""strong"": ""G1161"", ""count"": 1}]"
166,166,understanding,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,12,692,"[{""strong"": ""H8394"", ""count"": 34}, {""strong"": ""H0995"", ""count"": 31}, {""strong"": ""H0998"", ""count"": 23}, {""strong"": ""G4907"", ""count"": 5}, {""strong"": ""H3820"", ""count"": 4}, {""strong"": ""H3824"", ""count"": 3}, {""strong"": ""H7924"", ""count"": 3}, {""strong"": ""H7922"", ""count"": 2}, {""strong"": ""H7919"", ""count"": 2}, {""strong"": ""G4908"", ""count"": 2}, {""strong"": ""G0801"", ""count"": 2}, {""strong"": ""G1271"", ""count"": 2}, {""strong"": ""G3563"", ""count"": 2}, {""strong"": ""H8085"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""H3045"", ""count"": 1}, {""strong"": ""H3823"", ""count"": 1}, {""strong"": ""H5921"", ""count"": 1}, {""strong"": ""H0999"", ""count"": 1}, {""strong"": ""H3808"", ""count"": 1}, {""strong"": ""G4920"", ""count"": 1}, {""strong"": ""G3539"", ""count"": 1}, {""strong"": ""G6063"", ""count"": 1}, {""strong"": ""G1990"", ""count"": 1}, {""strong"": ""G1108"", ""count"": 1}]"
167,167,unity,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,3,241,"[{""strong"": ""G1775"", ""count"": 2}, {""strong"": ""H3162"", ""count"": 1}, {""strong"": ""H1571"", ""count"": 1}]"
168,168,uprightness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,9,337,"[{""strong"": ""H3476"", ""count"": 9}, {""strong"": ""H4339"", ""count"": 2}, {""strong"": ""H4334"", ""count"": 2}, {""strong"": ""H5229"", ""count"": 2}, {""strong"": ""H3483"", ""count"": 1}, {""strong"": ""H0589"", ""count"": 1}, {""strong"": ""H3477"", ""count"": 1}, {""strong"": ""H5921"", ""count"": 1}, {""strong"": ""H5228"", ""count"": 1}, {""strong"": ""G2118"", ""count"": 1}]"
169,169,vulnerability,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #206 (""vulnerability""). PARTIAL/GAP — Research required. Originally listed as Partial; moved to Gap on review — no existing partial coverage identified. Primary anchor: H6168 (arah, to lay bare/expose; ~15 occurrences). Supporting terms: H6174 (arom, naked/exposed; 16 occurrences); G1131 (gymnos, naked/vulnerable; 15 NT occurrences — including Heb 4:13 ""naked and laid bare before God""). A new registry entry is recommended. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
170,170,weakness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,1,14,"[{""strong"": ""G0769"", ""count"": 9}, {""strong"": ""G0772"", ""count"": 2}]"
171,171,whoredom,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,3,55,"[{""strong"": ""H2183"", ""count"": 5}, {""strong"": ""H2181"", ""count"": 4}, {""strong"": ""H2184"", ""count"": 4}]"
172,172,wickedness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,9,819,"[{""strong"": ""H7562"", ""count"": 24}, {""strong"": ""H7451"", ""count"": 11}, {""strong"": ""H7564"", ""count"": 10}, {""strong"": ""H5766"", ""count"": 3}, {""strong"": ""G4189"", ""count"": 3}, {""strong"": ""H7563"", ""count"": 2}, {""strong"": ""H0205"", ""count"": 2}, {""strong"": ""G2549"", ""count"": 2}, {""strong"": ""H2063"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""H2088"", ""count"": 1}, {""strong"": ""H0413"", ""count"": 1}, {""strong"": ""H3644"", ""count"": 1}, {""strong"": ""H7561"", ""count"": 1}, {""strong"": ""H1961"", ""count"": 1}, {""strong"": ""H7455"", ""count"": 1}, {""strong"": ""H5921"", ""count"": 1}, {""strong"": ""G0093"", ""count"": 1}, {""strong"": ""G0458"", ""count"": 1}]"
173,173,will,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:46,RUN-20260318_134133-BULK_GAP_FILL,17,1720,"[{""strong"": ""G2307"", ""count"": 5}, {""strong"": ""G3361"", ""count"": 3}, {""strong"": ""G2309"", ""count"": 3}, {""strong"": ""H3808"", ""count"": 2}, {""strong"": ""H6213"", ""count"": 1}, {""strong"": ""H5352"", ""count"": 1}, {""strong"": ""H3820"", ""count"": 1}, {""strong"": ""H3426"", ""count"": 1}, {""strong"": ""H1836"", ""count"": 1}, {""strong"": ""H7470"", ""count"": 1}, {""strong"": ""H7522"", ""count"": 1}, {""strong"": ""H0518"", ""count"": 1}, {""strong"": ""H0227"", ""count"": 1}, {""strong"": ""H7665"", ""count"": 1}, {""strong"": ""H0781"", ""count"": 1}, {""strong"": ""H1980"", ""count"": 1}, {""strong"": ""H5704"", ""count"": 1}, {""strong"": ""H4970"", ""count"": 1}, {""strong"": ""H3427"", ""count"": 1}, {""strong"": ""G1510"", ""count"": 1}, {""strong"": ""G3195"", ""count"": 1}, {""strong"": ""G2532"", ""count"": 1}, {""strong"": ""G1013"", ""count"": 1}]"
174,174,wisdom,High Confidence,,word_wisdom_Part1.md,Complete,WA-174-wisdom-data-part1/2-2026-03-15.json,2.0,30 terms (30 extracted). 2 parts. Session A Instruction v7. MTI: extracted.,1,,,,,
175,175,wonder,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:47,RUN-20260318_134133-BULK_GAP_FILL,7,131,"[{""strong"": ""H4159"", ""count"": 3}, {""strong"": ""H0176"", ""count"": 1}, {""strong"": ""H6382"", ""count"": 1}, {""strong"": ""H6381"", ""count"": 1}, {""strong"": ""H8539"", ""count"": 1}, {""strong"": ""G2285"", ""count"": 1}, {""strong"": ""G2296"", ""count"": 1}, {""strong"": ""G2295"", ""count"": 1}]"
176,176,worship,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:47,RUN-20260318_134133-BULK_GAP_FILL,14,521,"[{""strong"": ""H7812"", ""count"": 38}, {""strong"": ""G4352"", ""count"": 32}, {""strong"": ""H5457"", ""count"": 10}, {""strong"": ""G3000"", ""count"": 7}, {""strong"": ""H5647"", ""count"": 4}, {""strong"": ""G4576"", ""count"": 4}, {""strong"": ""G2999"", ""count"": 3}, {""strong"": ""H6213"", ""count"": 2}, {""strong"": ""H2088"", ""count"": 2}, {""strong"": ""H1875"", ""count"": 2}, {""strong"": ""G4574"", ""count"": 2}, {""strong"": ""H3372"", ""count"": 1}, {""strong"": ""H1931"", ""count"": 1}, {""strong"": ""H8334"", ""count"": 1}, {""strong"": ""G2151"", ""count"": 1}, {""strong"": ""G3050"", ""count"": 1}, {""strong"": ""G2356"", ""count"": 1}, {""strong"": ""G3009"", ""count"": 1}]"
177,177,worth,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:47,RUN-20260318_134133-BULK_GAP_FILL,5,95,"[{""strong"": ""H3644"", ""count"": 1}, {""strong"": ""H7737"", ""count"": 1}, {""strong"": ""H2088"", ""count"": 1}, {""strong"": ""H0369"", ""count"": 1}, {""strong"": ""H6187"", ""count"": 1}, {""strong"": ""G0514"", ""count"": 1}, {""strong"": ""G1382"", ""count"": 1}, {""strong"": ""G5242"", ""count"": 1}]"
178,178,wrath,Missing Inner Being Words,Affective/Emotional,word_wrath_1.md,Complete,WA-178-wrath-data-2026-03-10.json,1.0,4 terms (4 extracted). 1 part. Session A Instruction v6. MTI: extracted.,1,,,,,
179,179,yearning,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:47,RUN-20260318_134133-BULK_GAP_FILL,1,1,"[{""strong"": ""H4263"", ""count"": 1}]"
180,180,yielding,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:47,RUN-20260318_134133-BULK_GAP_FILL,3,56,"[{""strong"": ""H2232"", ""count"": 3}, {""strong"": ""G5342"", ""count"": 1}, {""strong"": ""G0591"", ""count"": 1}]"
181,181,zeal,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:47,RUN-20260318_134133-BULK_GAP_FILL,1,9,"[{""strong"": ""H7068"", ""count"": 10}, {""strong"": ""G2205"", ""count"": 6}, {""strong"": ""G4710"", ""count"": 2}, {""strong"": ""H7065"", ""count"": 1}]"
182,182,Soul,High Confidence,,word_soul.md,Complete,WA-182-soul-data-2026-03-14.json,1.0,4 terms (4 extracted). 1 part. Session A Instruction v7. MTI: extracted.,1,,,,,
183,183,heart,High Confidence,Anthropological core,word_heart_Part1.md,Complete,"WA-183-heart-data-part1-2026-03-15.json, WA-183-heart-data-part2-2026-03-15.json",2.0,62 terms (62 extracted). 2 parts. Session A Instruction v7. MTI: extracted.,1,,,,,
184,184,spirit,High Confidence,Anthropological core,word_spirit.md,Complete,WA-184-spirit-data-2026-03-15.json,1.0,11 terms (11 extracted). 1 part. Session A Instruction v7. MTI: extracted.,1,,,,,
185,185,flesh,High Confidence,Anthropological core,word_flesh_Part1.md,Complete,"WA-185-flesh-data-part1-2026-03-15.json, WA-185-flesh-data-part2-2026-03-15.json",2.0,28 terms (28 extracted). 2 parts. Session A Instruction v7. MTI: extracted.,1,,,,,
186,186,gladness,High Confidence,Affective/Emotional,word_gladness.md,In Progress,02-wa-186-gladness-data-patch-20260317-v1.json,,Added 2026-03-15: identified in Next 25 analysis as missing from original 181-word list.,1,,,,,
187,187,strength,High Confidence,Volitional/Capacity,"word_strength_Part1.md, word_strength_Part2.md, word_strength_Part3.md",Complete,"02-wa-187-strength-data-part1-patch-20260317-v1.json, 03-wa-187-strength-data-part2-patch-20260317-v1.json, 04-wa-187-strength-data-part3-patch-20260317-v1.json",,Added 2026-03-15: identified in Next 25 analysis as missing from original 181-word list.,1,,,,,
188,188,weeping,High Confidence,Somatic-Emotional,,In Progress,,,Added 2026-03-15: identified in Next 25 analysis as missing from original 181-word list.,1,2026-03-18T13:41:47,RUN-20260318_134133-BULK_GAP_FILL,8,756,"[{""strong"": ""H1065"", ""count"": 18}, {""strong"": ""G2799"", ""count"": 13}, {""strong"": ""H1058"", ""count"": 12}, {""strong"": ""G2805"", ""count"": 9}, {""strong"": ""H1832"", ""count"": 2}, {""strong"": ""H1068"", ""count"": 1}, {""strong"": ""H1980"", ""count"": 1}, {""strong"": ""H5927"", ""count"": 1}, {""strong"": ""H4480"", ""count"": 1}, {""strong"": ""H1931"", ""count"": 1}]"
189,189,malice,High Confidence,Moral/Negative,,In Progress,,,Added 2026-03-15: identified in Next 25 analysis as missing from original 181-word list.,1,2026-03-18T13:41:47,RUN-20260318_134133-BULK_GAP_FILL,2,30,"[{""strong"": ""G2549"", ""count"": 6}, {""strong"": ""H7451"", ""count"": 2}, {""strong"": ""H7589"", ""count"": 2}, {""strong"": ""G4189"", ""count"": 1}]"
190,190,contempt,High Confidence,Moral/Relational,,In Progress,,,Added 2026-03-15: identified in Next 25 analysis as missing from original 181-word list.,1,2026-03-18T13:41:47,RUN-20260318_134133-BULK_GAP_FILL,11,408,"[{""strong"": ""H0937"", ""count"": 9}, {""strong"": ""H7043"", ""count"": 4}, {""strong"": ""H7590"", ""count"": 2}, {""strong"": ""H5034"", ""count"": 2}, {""strong"": ""G1848"", ""count"": 2}, {""strong"": ""H5006"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""H2778"", ""count"": 1}, {""strong"": ""H0959"", ""count"": 1}, {""strong"": ""H0963"", ""count"": 1}, {""strong"": ""H7034"", ""count"": 1}, {""strong"": ""H7589"", ""count"": 1}, {""strong"": ""H5315"", ""count"": 1}, {""strong"": ""H1860"", ""count"": 1}, {""strong"": ""G1847"", ""count"": 1}, {""strong"": ""G3856"", ""count"": 1}]"
191,191,doubt,High Confidence,Cognitive-Spiritual,,In Progress,,,Added 2026-03-15: identified in Next 25 analysis as missing from original 181-word list.,1,2026-03-18T13:41:48,RUN-20260318_134133-BULK_GAP_FILL,5,33,"[{""strong"": ""G1252"", ""count"": 3}, {""strong"": ""H2963"", ""count"": 1}, {""strong"": ""H0551"", ""count"": 1}, {""strong"": ""G1365"", ""count"": 1}, {""strong"": ""G3843"", ""count"": 1}]"
192,192,comfort,High Confidence,Positive/Relational,,In Progress,,,Added 2026-03-15: identified in Next 25 analysis as missing from original 181-word list.,1,2026-03-18T13:41:48,RUN-20260318_134133-BULK_GAP_FILL,6,62,"[{""strong"": ""H5162"", ""count"": 26}, {""strong"": ""G3874"", ""count"": 12}, {""strong"": ""G3870"", ""count"": 4}, {""strong"": ""H5165"", ""count"": 2}, {""strong"": ""H8575"", ""count"": 1}, {""strong"": ""H5150"", ""count"": 1}, {""strong"": ""G3890"", ""count"": 1}, {""strong"": ""G3931"", ""count"": 1}]"
